Coluna1	Coluna2	Coluna3	Coluna4	 Coluna5 	Coluna6	Coluna7	Coluna8	Coluna9	Coluna10	Coluna11
Leudissandro		Excel Avançado		1870	10	41120	Pessoa Jurídica	Joaquim	Noite	São Paulo
Paola		Excel BI		1910	11	40012	Pessoa Jurídica	Lívia	Integral	São Paulo
Andrázio		Excel VBA Básico		2240	9	40324	Pessoa Física	Rossana	Madrugada	São Paulo
Luciana		Excel VBA avançado		2479	11	40456	Pessoa Jurídica	Euletério	Domingo	São Paulo
Florisbela		Access + VBA		3200	10	41465	Pessoa Física	Fábio	Segunda-feira	São Paulo
Leonardo		JavaScript Básico		3921	12	41000	Pessoa Física	Joaquim	Personalizado	São Paulo
Carlitos		JavaScript Avançado		780	9	40629	Pessoa Física	Lívia	Manhã	São Paulo
Flaviana		SQL Básico		980	10	42244	Pessoa Jurídica	Rossana	Tarde	São Paulo
Santoro		SQL Avançado		1020	10	40315	Pessoa Jurídica	Euletério	Noite	São Paulo
Leudissandro		Css Básico		1340	8	41747	Pessoa Jurídica	Fábio	Integral	São Paulo
Paola		Css Avançado		1870	12	41834	Pessoa Física	Joaquim	Madrugada	São Paulo
Andrázio		MySQL		1910	9	41782	Pessoa Jurídica	Lívia	Terça-feira	São Paulo
Luciana		HTML 120		2240	8	41812	Pessoa Física	Rossana	Quarta-feira	São Paulo
Florisbela		Excel Básico		2479	11	40973	Pessoa Física	Euletério	Personalizado	São Paulo
Leonardo		Excel Intermediário		3200	10	40666	Pessoa Física	Fábio	Manhã	São Paulo
Carlitos		Excel Avançado		3921	9	42176	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Flaviana		Excel BI		780	12	41853	Pessoa Jurídica	Lívia	Noite	São Paulo
Santoro		Excel VBA Básico		980	11	40962	Pessoa Jurídica	Rossana	Integral	São Paulo
Leudissandro		Excel VBA avançado		1020	12	42316	Pessoa Física	Euletério	Madrugada	São Paulo
Paola		Access + VBA		1340	10	40303	Pessoa Jurídica	Fábio	Quinta-feira	Bahia
Andrázio		JavaScript Básico		1870	10	41894	Pessoa Física	Joaquim	Sexta-feira	Brasília
Luciana		JavaScript Avançado		1910	12	40390	Pessoa Física	Lívia	Personalizado	Ceará
Florisbela		SQL Básico		2240	12	41260	Pessoa Física	Fábio	Manhã	Goiás
Leonardo		SQL Avançado		2479	10	41446	Pessoa Jurídica	Joaquim	Tarde	Minas Gerais
Carlitos		Css Básico		3200	11	40453	Pessoa Jurídica	Lívia	Noite	Minas Gerais
Flaviana		Css Avançado		3921	12	41608	Pessoa Jurídica	Rossana	Integral	Minas Gerais
Santoro		MySQL		780	9	41119	Pessoa Física	Euletério	Madrugada	Minas Gerais
Leudissandro		HTML 121		980	10	41352	Pessoa Jurídica	Fábio	Sábado	Paraíba
Paola		Excel Básico		1020	9	40696	Pessoa Física	Joaquim	Domingo	Paraná
Andrázio		Excel Intermediário		1340	8	40662	Pessoa Física	Lívia	Personalizado	Pernambuco
Luciana		Excel Avançado		1870	10	42087	Pessoa Física	Rossana	Manhã	Pernambuco
Florisbela		Excel BI		1910	12	42500	Pessoa Jurídica	Euletério	Tarde	Pernambuco
Leonardo		Excel VBA Básico		2240	8	41067	Pessoa Jurídica	Fábio	Noite	Rio de Janeiro
Carlitos		Excel VBA avançado		2479	10	40693	Pessoa Jurídica	Joaquim	Integral	Rio de Janeiro
Flaviana		Access + VBA		3200	10	41087	Pessoa Física	Lívia	Madrugada	Rio de Janeiro
Santoro		JavaScript Básico		3921	10	42221	Pessoa Jurídica	Rossana	Segunda-feira	Rio de Janeiro
Leudissandro		JavaScript Avançado		780	11	41656	Pessoa Física	Euletério	Terça-feira	Rio Grande do Sul
Paola		SQL Básico		980	8	41110	Pessoa Física	Fábio	Personalizado	Rio Grande do Sul
Andrázio		SQL Avançado		1020	11	41215	Pessoa Física	Joaquim	Manhã	São Paulo
Luciana		Css Básico		1340	12	41982	Pessoa Jurídica	Lívia	Tarde	São Paulo
Florisbela		Css Avançado		1870	12	41498	Pessoa Jurídica	Rossana	Noite	São Paulo
Leonardo		MySQL		1910	8	41646	Pessoa Jurídica	Euletério	Integral	São Paulo
Carlitos		HTML 122		2240	12	42262	Pessoa Física	Fábio	Madrugada	Sergipe
Flaviana		Excel Básico		2479	8	40378	Pessoa Jurídica	Joaquim	Quarta-feira	São Paulo
Santoro		Excel Intermediário		3200	8	41821	Pessoa Física	Lívia	Quinta-feira	São Paulo
Leudissandro		Excel Avançado		3921	10	41950	Pessoa Física	Rossana	Personalizado	São Paulo
Paola		Excel BI		780	11	41875	Pessoa Física	Euletério	Manhã	São Paulo
Andrázio		Excel VBA Básico		980	8	41514	Pessoa Jurídica	Fábio	Tarde	São Paulo
Luciana		Excel VBA avançado		1020	11	42248	Pessoa Jurídica	Joaquim	Noite	Bahia
Florisbela		Access + VBA		1340	8	40855	Pessoa Jurídica	Lívia	Integral	Bahia
Leonardo		JavaScript Básico		1870	12	42369	Pessoa Física	Fábio	Madrugada	Minas Gerais
Carlitos		JavaScript Avançado		1910	12	41603	Pessoa Jurídica	Joaquim	Sexta-feira	Minas Gerais
Flaviana		SQL Básico		2240	9	40817	Pessoa Física	Lívia	Sábado	Minas Gerais
Santoro		SQL Avançado		2479	12	40758	Pessoa Física	Rossana	Personalizado	Minas Gerais
Leudissandro		Css Básico		3200	11	41984	Pessoa Física	Euletério	Manhã	Minas Gerais
Paola		Css Avançado		3921	8	42391	Pessoa Jurídica	Fábio	Tarde	Minas Gerais
Andrázio		MySQL		780	9	41759	Pessoa Jurídica	Joaquim	Noite	Minas Gerais
Luciana		HTML 123		980	8	41246	Pessoa Jurídica	Lívia	Integral	Paraná
Florisbela		Excel Básico		1020	10	40339	Pessoa Física	Rossana	Madrugada	Paraná
Leonardo		Excel Intermediário		1340	9	41644	Pessoa Jurídica	Euletério	Domingo	Paraná
Carlitos		Excel Avançado		1870	8	40193	Pessoa Física	Fábio	Segunda-feira	Piauí
Flaviana		Excel BI		1910	9	41101	Pessoa Física	Joaquim	Personalizado	Rio de Janeiro
Santoro		Excel VBA Básico		2240	9	40613	Pessoa Física	Lívia	Manhã	Rio de Janeiro
Leudissandro		Excel VBA avançado		2479	12	42366	Pessoa Jurídica	Rossana	Tarde	Rio de Janeiro
Paola		Access + VBA		3200	10	40845	Pessoa Jurídica	Euletério	Noite	Rio Grande do Sul
Andrázio		JavaScript Básico		3921	11	40934	Pessoa Jurídica	Fábio	Integral	Rio Grande do Sul
Luciana		JavaScript Avançado		780	10	41397	Pessoa Física	Joaquim	Madrugada	Rio Grande do Sul
Florisbela		SQL Básico		980	11	41275	Pessoa Jurídica	Lívia	Terça-feira	Santa Catarina
Leonardo		SQL Avançado		1020	12	41567	Pessoa Física	Rossana	Quarta-feira	Santa Catarina
Carlitos		Css Básico		1340	11	41772	Pessoa Física	Euletério	Personalizado	São Paulo
Flaviana		Css Avançado		1870	10	41376	Pessoa Física	Fábio	Manhã	São Paulo
Santoro		MySQL		1910	8	41573	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Leudissandro		HTML 124		2240	8	42464	Pessoa Jurídica	Lívia	Noite	São Paulo
Paola		Excel Básico		2479	10	40906	Pessoa Jurídica	Rossana	Integral	São Paulo
Andrázio		Excel Intermediário		3200	11	42213	Pessoa Física	Euletério	Madrugada	São Paulo
Luciana		Excel Avançado		3921	8	40117	Pessoa Jurídica	Fábio	Quinta-feira	São Paulo
Florisbela		Excel BI		780	12	41911	Pessoa Física	Joaquim	Sexta-feira	São Paulo
Leonardo		Excel VBA Básico		980	9	41748	Pessoa Física	Lívia	Personalizado	São Paulo
Carlitos		Excel VBA avançado		1020	9	40728	Pessoa Física	Fábio	Manhã	São Paulo
Flaviana		Access + VBA		1340	11	40699	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Santoro		JavaScript Básico		1870	12	41100	Pessoa Jurídica	Lívia	Noite	São Paulo
Leudissandro		JavaScript Avançado		1910	11	40284	Pessoa Jurídica	Rossana	Integral	São Paulo
Paola		SQL Básico		2240	10	42030	Pessoa Física	Euletério	Madrugada	São Paulo
Andrázio		SQL Avançado		2479	9	41851	Pessoa Jurídica	Fábio	Sábado	São Paulo
Luciana		Css Básico		3200	11	41093	Pessoa Física	Joaquim	Domingo	São Paulo
Florisbela		Css Avançado		3921	12	40364	Pessoa Física	Lívia	Personalizado	São Paulo
Leonardo		MySQL		780	10	42279	Pessoa Física	Rossana	Manhã	São Paulo
Carlitos		HTML 125		980	8	40054	Pessoa Jurídica	Euletério	Tarde	São Paulo
Flaviana		Excel Básico		1020	10	40893	Pessoa Jurídica	Fábio	Noite	São Paulo
Santoro		Excel Intermediário		1340	12	40346	Pessoa Jurídica	Joaquim	Integral	São Paulo
Leudissandro		Excel Avançado		1870	10	40334	Pessoa Física	Lívia	Madrugada	São Paulo
Paola		Excel BI		1910	8	40307	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Andrázio		Excel VBA Básico		2240	11	41323	Pessoa Física	Euletério	Terça-feira	São Paulo
Luciana		Excel VBA avançado		2479	11	40232	Pessoa Física	Fábio	Personalizado	São Paulo
Florisbela		Access + VBA		3200	11	41767	Pessoa Física	Joaquim	Manhã	São Paulo
Leonardo		JavaScript Básico		3921	12	40260	Pessoa Jurídica	Lívia	Tarde	São Paulo
Carlitos		JavaScript Avançado		780	10	41046	Pessoa Jurídica	Rossana	Noite	São Paulo
Flaviana		SQL Básico		980	9	41930	Pessoa Jurídica	Euletério	Integral	Bahia
Santoro		SQL Avançado		1020	11	41245	Pessoa Física	Fábio	Madrugada	Bahia
Leudissandro		Css Básico		1340	8	40663	Pessoa Jurídica	Joaquim	Quarta-feira	Bahia
Paola		Css Avançado		1870	11	41127	Pessoa Física	Lívia	Quinta-feira	Bahia
Andrázio		MySQL		1910	11	40666	Pessoa Física	Rossana	Personalizado	Bahia
Luciana		HTML 126		2240	11	40713	Pessoa Física	Euletério	Manhã	Bahia
Florisbela		Excel Básico		2479	10	41487	Pessoa Jurídica	Fábio	Tarde	Bahia
Leonardo		Excel Intermediário		3200	8	40657	Pessoa Jurídica	Joaquim	Noite	Bahia
Carlitos		Excel Avançado		3921	10	40884	Pessoa Jurídica	Lívia	Integral	Bahia
Flaviana		Excel BI		780	8	40807	Pessoa Física	Fábio	Madrugada	Bahia
Santoro		Excel VBA Básico		980	12	41273	Pessoa Jurídica	Joaquim	Sexta-feira	Bahia
Leudissandro		Excel VBA avançado		1020	12	41622	Pessoa Física	Lívia	Sábado	Brasília
Paola		Access + VBA		1340	11	40564	Pessoa Física	Rossana	Personalizado	Ceará
Andrázio		JavaScript Básico		1870	10	40732	Pessoa Física	Euletério	Manhã	Ceará
Luciana		JavaScript Avançado		1910	8	40098	Pessoa Jurídica	Fábio	Tarde	Ceará
Florisbela		SQL Básico		2240	10	41409	Pessoa Jurídica	Joaquim	Noite	Ceará
Leonardo		SQL Avançado		2479	12	41257	Pessoa Jurídica	Lívia	Integral	Espírito Santo
Carlitos		Css Básico		3200	12	42427	Pessoa Física	Rossana	Madrugada	Mato Grosso do Sul
Flaviana		Css Avançado		3921	9	41203	Pessoa Jurídica	Euletério	Domingo	Minas Gerais
Santoro		MySQL		780	12	40040	Pessoa Física	Fábio	Segunda-feira	Minas Gerais
Leudissandro		HTML 127		980	8	42077	Pessoa Física	Joaquim	Personalizado	Minas Gerais
Paola		Excel Básico		1020	9	41961	Pessoa Física	Lívia	Manhã	Paraná
Andrázio		Excel Intermediário		1340	9	40087	Pessoa Jurídica	Rossana	Tarde	Paraná
Luciana		Excel Avançado		1870	12	42264	Pessoa Jurídica	Euletério	Noite	Pernambuco
Florisbela		Excel BI		1910	10	40853	Pessoa Jurídica	Fábio	Integral	Pernambuco
Leonardo		Excel VBA Básico		2240	12	40495	Pessoa Física	Joaquim	Madrugada	Pernambuco
Carlitos		Excel VBA avançado		2479	9	41966	Pessoa Jurídica	Lívia	Terça-feira	Pernambuco
Flaviana		Access + VBA		3200	9	42410	Pessoa Física	Rossana	Quarta-feira	Pernambuco
Santoro		JavaScript Básico		3921	12	40613	Pessoa Física	Euletério	Personalizado	Pernambuco
Leudissandro		JavaScript Avançado		780	10	41043	Pessoa Física	Fábio	Manhã	Pernambuco
Paola		SQL Básico		980	12	40951	Pessoa Jurídica	Joaquim	Tarde	Pernambuco
Andrázio		SQL Avançado		1020	10	42303	Pessoa Jurídica	Lívia	Noite	Pernambuco
Luciana		Css Básico		1340	8	41827	Pessoa Jurídica	Rossana	Integral	Rio de Janeiro
Florisbela		Css Avançado		1870	12	41935	Pessoa Física	Euletério	Madrugada	Rio de Janeiro
Leonardo		MySQL		1910	12	40111	Pessoa Jurídica	Fábio	Quinta-feira	Rio de Janeiro
Carlitos		HTML 128		2240	10	41478	Pessoa Física	Joaquim	Sexta-feira	Rio de Janeiro
Flaviana		Excel Básico		2479	11	42168	Pessoa Física	Lívia	Personalizado	Rio de Janeiro
Santoro		Excel Intermediário		3200	12	41542	Pessoa Física	Fábio	Manhã	Rio de Janeiro
Leudissandro		Excel Avançado		3921	10	41982	Pessoa Jurídica	Joaquim	Tarde	Rio de Janeiro
Paola		Excel BI		780	9	41137	Pessoa Jurídica	Lívia	Noite	Rio de Janeiro
Andrázio		Excel VBA Básico		980	10	42284	Pessoa Jurídica	Rossana	Integral	Rio de Janeiro
Luciana		Excel VBA avançado		1020	8	42006	Pessoa Física	Euletério	Madrugada	Rio Grande do Sul
Florisbela		Access + VBA		1340	8	41695	Pessoa Jurídica	Fábio	Sábado	Rio Grande do Sul
Leonardo		JavaScript Básico		1870	12	42307	Pessoa Física	Joaquim	Domingo	Rio Grande do Sul
Carlitos		JavaScript Avançado		1910	11	41389	Pessoa Física	Lívia	Personalizado	Santa Catarina
Flaviana		SQL Básico		2240	11	41449	Pessoa Física	Rossana	Manhã	Santa Catarina
Santoro		SQL Avançado		2479	9	41218	Pessoa Jurídica	Euletério	Tarde	Santa Catarina
Leudissandro		Css Básico		3200	12	41084	Pessoa Jurídica	Fábio	Noite	São Paulo
Paola		Css Avançado		3921	12	41279	Pessoa Jurídica	Joaquim	Integral	São Paulo
Andrázio		MySQL		780	10	42178	Pessoa Física	Lívia	Madrugada	São Paulo
Luciana		HTML 129		980	11	40761	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Florisbela		Excel Básico		1020	9	42261	Pessoa Física	Euletério	Terça-feira	São Paulo
Leonardo		Excel Intermediário		1340	9	41733	Pessoa Física	Fábio	Personalizado	São Paulo
Carlitos		Excel Avançado		1870	12	41382	Pessoa Física	Joaquim	Manhã	São Paulo
Flaviana		Excel BI		1910	9	41325	Pessoa Jurídica	Lívia	Tarde	São Paulo
Santoro		Excel VBA Básico		2240	10	41249	Pessoa Jurídica	Rossana	Noite	São Paulo
Leudissandro		Excel VBA avançado		2479	9	41725	Pessoa Jurídica	Euletério	Integral	São Paulo
Paola		Access + VBA		3200	8	41443	Pessoa Física	Fábio	Madrugada	São Paulo
Andrázio		JavaScript Básico		3921	9	41039	Pessoa Jurídica	Joaquim	Quarta-feira	São Paulo
Luciana		JavaScript Avançado		780	9	41916	Pessoa Física	Lívia	Quinta-feira	São Paulo
Florisbela		SQL Básico		980	8	40158	Pessoa Física	Rossana	Personalizado	São Paulo
Leonardo		SQL Avançado		1020	12	41468	Pessoa Física	Euletério	Manhã	São Paulo
Carlitos		Css Básico		1340	8	40947	Pessoa Jurídica	Fábio	Tarde	São Paulo
Flaviana		Css Avançado		1870	11	41609	Pessoa Jurídica	Joaquim	Noite	São Paulo
Santoro		MySQL		1910	10	41000	Pessoa Jurídica	Lívia	Integral	São Paulo
Leudissandro		HTML 130		2240	11	40302	Pessoa Física	Fábio	Madrugada	São Paulo
Paola		Excel Básico		2479	12	40660	Pessoa Jurídica	Joaquim	Sexta-feira	São Paulo
Andrázio		Excel Intermediário		3200	8	40691	Pessoa Física	Lívia	Sábado	São Paulo
Luciana		Excel Avançado		3921	10	40122	Pessoa Física	Rossana	Personalizado	São Paulo
Florisbela		Excel BI		780	11	41932	Pessoa Física	Euletério	Manhã	São Paulo
Leonardo		Excel VBA Básico		980	10	40549	Pessoa Jurídica	Fábio	Tarde	São Paulo
Carlitos		Excel VBA avançado		1020	10	42375	Pessoa Jurídica	Joaquim	Noite	São Paulo
Flaviana		Access + VBA		1340	12	41145	Pessoa Jurídica	Lívia	Integral	São Paulo
Santoro		JavaScript Básico		1870	8	40302	Pessoa Física	Rossana	Madrugada	São Paulo
Leudissandro		JavaScript Avançado		1910	10	40666	Pessoa Jurídica	Euletério	Domingo	São Paulo
Paola		SQL Básico		2240	11	41756	Pessoa Física	Fábio	Segunda-feira	São Paulo
Andrázio		SQL Avançado		2479	10	42314	Pessoa Física	Joaquim	Personalizado	São Paulo
Luciana		Css Básico		3200	12	40309	Pessoa Física	Lívia	Manhã	São Paulo
Florisbela		Css Avançado		3921	11	40769	Pessoa Jurídica	Rossana	Tarde	São Paulo
Leonardo		MySQL		780	9	40180	Pessoa Jurídica	Euletério	Noite	São Paulo
Carlitos		HTML 131		980	10	40154	Pessoa Jurídica	Fábio	Integral	São Paulo
Flaviana		Excel Básico		1020	9	41261	Pessoa Física	Joaquim	Madrugada	São Paulo
Santoro		Excel Intermediário		1340	12	40694	Pessoa Jurídica	Lívia	Terça-feira	São Paulo
Leudissandro		Excel Avançado		1870	9	40360	Pessoa Física	Rossana	Quarta-feira	São Paulo
Paola		Excel BI		1910	10	40366	Pessoa Física	Euletério	Personalizado	São Paulo
Andrázio		Excel VBA Básico		2240	8	41280	Pessoa Física	Fábio	Manhã	São Paulo
Luciana		Excel VBA avançado		2479	11	41358	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Florisbela		Access + VBA		3200	12	41482	Pessoa Jurídica	Lívia	Noite	São Paulo
Leonardo		JavaScript Básico		3921	11	40520	Pessoa Jurídica	Rossana	Integral	Sergipe
Carlitos		JavaScript Avançado		780	9	41106	Pessoa Física	Euletério	Madrugada	Alagoas
Flaviana		SQL Básico		980	9	42379	Pessoa Jurídica	Fábio	Quinta-feira	Amapá
Santoro		SQL Avançado		1020	11	41792	Pessoa Física	Joaquim	Sexta-feira	Amazonas
Leudissandro		Css Básico		1340	9	40847	Pessoa Física	Lívia	Personalizado	Bahia
Paola		Css Avançado		1870	11	40423	Pessoa Física	Fábio	Manhã	Bahia
Andrázio		MySQL		1910	12	42205	Pessoa Jurídica	Joaquim	Tarde	Ceará
Luciana		HTML 132		2240	9	41117	Pessoa Jurídica	Lívia	Noite	Ceará
Florisbela		Excel Básico		2479	8	40975	Pessoa Jurídica	Rossana	Integral	Ceará
Leonardo		Excel Intermediário		3200	9	41491	Pessoa Física	Euletério	Madrugada	Espírito Santo
Carlitos		Excel Avançado		3921	11	40327	Pessoa Jurídica	Fábio	Sábado	Goiás
Flaviana		Excel BI		780	10	41698	Pessoa Física	Joaquim	Domingo	Mato Grosso do Sul
Santoro		Excel VBA Básico		980	11	42112	Pessoa Física	Lívia	Personalizado	Minas Gerais
Leudissandro		Excel VBA avançado		1020	9	41991	Pessoa Física	Rossana	Manhã	Minas Gerais
Paola		Access + VBA		1340	12	40656	Pessoa Jurídica	Euletério	Tarde	Minas Gerais
Andrázio		JavaScript Básico		1870	8	41122	Pessoa Jurídica	Fábio	Noite	Pará
Luciana		JavaScript Avançado		1910	10	41843	Pessoa Jurídica	Joaquim	Integral	Paraíba
Florisbela		SQL Básico		2240	9	41084	Pessoa Física	Lívia	Madrugada	Paraná
Leonardo		SQL Avançado		2479	12	41665	Pessoa Jurídica	Rossana	Segunda-feira	Paraná
Carlitos		Css Básico		3200	9	42449	Pessoa Física	Euletério	Terça-feira	Paraná
Flaviana		Css Avançado		3921	8	41189	Pessoa Física	Fábio	Personalizado	Paraná
Santoro		MySQL		780	12	42061	Pessoa Física	Joaquim	Manhã	Paraná
Leudissandro		HTML 133		980	12	40646	Pessoa Jurídica	Lívia	Tarde	Pernambuco
Paola		Excel Básico		1020	12	41251	Pessoa Jurídica	Rossana	Noite	Pernambuco
Andrázio		Excel Intermediário		1340	10	42144	Pessoa Jurídica	Euletério	Integral	Pernambuco
Luciana		Excel Avançado		1870	12	41128	Pessoa Física	Fábio	Madrugada	Rio de Janeiro
Florisbela		Excel BI		1910	9	41176	Pessoa Jurídica	Joaquim	Quarta-feira	Rio de Janeiro
Leonardo		Excel VBA Básico		2240	11	41346	Pessoa Física	Lívia	Quinta-feira	Rio de Janeiro
Carlitos		Excel VBA avançado		2479	9	41514	Pessoa Física	Rossana	Personalizado	Rio de Janeiro
Flaviana		Access + VBA		3200	9	40923	Pessoa Física	Euletério	Manhã	Rio de Janeiro
Santoro		JavaScript Básico		3921	12	41552	Pessoa Jurídica	Fábio	Tarde	Rio Grande do Norte
Leudissandro		JavaScript Avançado		780	12	40407	Pessoa Jurídica	Joaquim	Noite	Rio Grande do Sul
Paola		SQL Básico		980	12	41156	Pessoa Jurídica	Lívia	Integral	Rio Grande do Sul
Andrázio		SQL Avançado		1020	11	41512	Pessoa Física	Fábio	Madrugada	Rondônia
Luciana		Css Básico		1340	9	40880	Pessoa Jurídica	Joaquim	Sexta-feira	Roraima
Florisbela		Css Avançado		1870	9	42143	Pessoa Física	Lívia	Sábado	Santa Catarina
Leonardo		MySQL		1910	9	41531	Pessoa Física	Rossana	Personalizado	Santa Catarina
Carlitos		HTML 134		2240	8	41804	Pessoa Física	Euletério	Manhã	Santa Catarina
Flaviana		Excel Básico		2479	12	42431	Pessoa Jurídica	Fábio	Tarde	Santa Catarina
Santoro		Excel Intermediário		3200	9	40206	Pessoa Jurídica	Joaquim	Noite	São Paulo
Leudissandro		Excel Avançado		3921	12	40544	Pessoa Jurídica	Lívia	Integral	São Paulo
Paola		Excel BI		780	12	40302	Pessoa Física	Rossana	Madrugada	São Paulo
Andrázio		Excel VBA Básico		980	11	42067	Pessoa Jurídica	Euletério	Domingo	São Paulo
Luciana		Excel VBA avançado		1020	12	41202	Pessoa Física	Fábio	Segunda-feira	São Paulo
Florisbela		Access + VBA		1340	10	42118	Pessoa Física	Joaquim	Personalizado	São Paulo
Leonardo		JavaScript Básico		1870	10	42035	Pessoa Física	Lívia	Manhã	São Paulo
Carlitos		JavaScript Avançado		1910	9	40544	Pessoa Jurídica	Rossana	Tarde	São Paulo
Flaviana		SQL Básico		2240	8	42321	Pessoa Jurídica	Euletério	Noite	São Paulo
Santoro		SQL Avançado		2479	10	42005	Pessoa Jurídica	Fábio	Integral	São Paulo
Leudissandro		Css Básico		3200	9	40683	Pessoa Física	Joaquim	Madrugada	São Paulo
Paola		Css Avançado		3921	10	42308	Pessoa Jurídica	Lívia	Terça-feira	São Paulo
Andrázio		MySQL		780	8	41696	Pessoa Física	Rossana	Quarta-feira	São Paulo
Luciana		HTML 135		980	12	40631	Pessoa Física	Euletério	Personalizado	São Paulo
Florisbela		Excel Básico		1020	11	41974	Pessoa Física	Fábio	Manhã	São Paulo
Leonardo		Excel Intermediário		1340	12	40854	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Carlitos		Excel Avançado		1870	9	40427	Pessoa Jurídica	Lívia	Noite	São Paulo
Flaviana		Excel BI		1910	12	42270	Pessoa Jurídica	Rossana	Integral	São Paulo
Santoro		Excel VBA Básico		2240	11	40405	Pessoa Física	Euletério	Madrugada	Sergipe
Leudissandro		Excel VBA avançado		2479	9	40349	Pessoa Jurídica	Fábio	Quinta-feira	São Paulo
Paola		Access + VBA		3200	9	42110	Pessoa Física	Joaquim	Sexta-feira	Bahia
Andrázio		JavaScript Básico		3921	10	40723	Pessoa Física	Lívia	Personalizado	Minas Gerais
Luciana		JavaScript Avançado		780	12	40640	Pessoa Física	Fábio	Manhã	Minas Gerais
Florisbela		SQL Básico		980	10	40988	Pessoa Jurídica	Joaquim	Tarde	Minas Gerais
Leonardo		SQL Avançado		1020	9	40535	Pessoa Jurídica	Lívia	Noite	Paraná
Carlitos		Css Básico		1340	12	42301	Pessoa Jurídica	Rossana	Integral	Paraná
Flaviana		Css Avançado		1870	8	41164	Pessoa Física	Euletério	Madrugada	Paraná
Santoro		MySQL		1910	10	41864	Pessoa Jurídica	Fábio	Sábado	Paraná
Leudissandro		HTML 136		2240	8	40891	Pessoa Física	Joaquim	Domingo	Paraná
Paola		Excel Básico		2479	11	41630	Pessoa Física	Lívia	Personalizado	Paraná
Andrázio		Excel Intermediário		3200	8	41501	Pessoa Física	Rossana	Manhã	Paraná
Luciana		Excel Avançado		3921	12	41879	Pessoa Jurídica	Euletério	Tarde	Rio de Janeiro
Florisbela		Excel BI		780	9	42292	Pessoa Jurídica	Fábio	Noite	Rio de Janeiro
Leonardo		Excel VBA Básico		980	9	41714	Pessoa Jurídica	Joaquim	Integral	Rio de Janeiro
Carlitos		Excel VBA avançado		1020	11	41640	Pessoa Física	Lívia	Madrugada	Rio de Janeiro
Flaviana		Access + VBA		1340	8	42191	Pessoa Jurídica	Rossana	Segunda-feira	Rio de Janeiro
Santoro		JavaScript Básico		1870	12	40042	Pessoa Física	Euletério	Terça-feira	Rio de Janeiro
Leudissandro		JavaScript Avançado		1910	11	41620	Pessoa Física	Fábio	Personalizado	Rio de Janeiro
Paola		SQL Básico		2240	10	40495	Pessoa Física	Joaquim	Manhã	Rio de Janeiro
Andrázio		SQL Avançado		2479	11	41509	Pessoa Jurídica	Lívia	Tarde	Rio de Janeiro
Luciana		Css Básico		3200	11	40337	Pessoa Jurídica	Rossana	Noite	Rio de Janeiro
Florisbela		Css Avançado		3921	10	42331	Pessoa Jurídica	Euletério	Integral	Rio de Janeiro
Leonardo		MySQL		780	11	40712	Pessoa Física	Fábio	Madrugada	Rio de Janeiro
Carlitos		HTML 137		980	8	40169	Pessoa Jurídica	Joaquim	Quarta-feira	Rio Grande do Sul
Flaviana		Excel Básico		1020	8	41302	Pessoa Física	Lívia	Quinta-feira	Santa Catarina
Santoro		Excel Intermediário		1340	10	40172	Pessoa Física	Rossana	Personalizado	Santa Catarina
Leudissandro		Excel Avançado		1870	11	42364	Pessoa Física	Euletério	Manhã	Santa Catarina
Paola		Excel BI		1910	12	41067	Pessoa Jurídica	Fábio	Tarde	São Paulo
Andrázio		Excel VBA Básico		2240	8	40476	Pessoa Jurídica	Joaquim	Noite	São Paulo
Luciana		Excel VBA avançado		2479	10	42484	Pessoa Jurídica	Lívia	Integral	São Paulo
Florisbela		Access + VBA		3200	10	41814	Pessoa Física	Fábio	Madrugada	São Paulo
Leonardo		JavaScript Básico		3921	10	40718	Pessoa Jurídica	Joaquim	Sexta-feira	São Paulo
Carlitos		JavaScript Avançado		780	10	41889	Pessoa Física	Lívia	Sábado	São Paulo
Flaviana		SQL Básico		980	11	40271	Pessoa Física	Rossana	Personalizado	São Paulo
Santoro		SQL Avançado		1020	8	41273	Pessoa Física	Euletério	Manhã	São Paulo
Leudissandro		Css Básico		1340	8	40149	Pessoa Jurídica	Fábio	Tarde	São Paulo
Paola		Css Avançado		1870	10	41360	Pessoa Jurídica	Joaquim	Noite	São Paulo
Andrázio		MySQL		1910	9	42274	Pessoa Jurídica	Lívia	Integral	São Paulo
Luciana		HTML 138		2240	11	41730	Pessoa Física	Rossana	Madrugada	São Paulo
Florisbela		Excel Básico		2479	11	40009	Pessoa Jurídica	Euletério	Domingo	São Paulo
Leonardo		Excel Intermediário		3200	10	42434	Pessoa Física	Fábio	Segunda-feira	São Paulo
Carlitos		Excel Avançado		3921	12	42208	Pessoa Física	Joaquim	Personalizado	São Paulo
Flaviana		Excel BI		780	12	40160	Pessoa Física	Lívia	Manhã	São Paulo
Santoro		Excel VBA Básico		980	9	42200	Pessoa Jurídica	Rossana	Tarde	São Paulo
Leudissandro		Excel VBA avançado		1020	10	42235	Pessoa Jurídica	Euletério	Noite	São Paulo
